id,url,headline,author,date
0,https://theverge.com//2022/9/3/23335692/twitter-edit-button-platform-bluesky,Twitter’s edit button is a big test for the platform’s future,David Pierce,2022/09/03
1,https://theverge.com//2022/9/15/23355037/ford-mustang-software-unreal-android-ux,Ford won’t say whether the new Mustang runs on Android,Andrew J. Hawkins,2022/09/15
2,https://theverge.com//2022/9/15/23354013/starlink-antarctica-mcmurdo-station,Starlink is even in Antarctica now,Mitchell Clark,2022/09/15
3,https://theverge.com//2022/9/13/23349037/mark-bergen-youtube-creators-tiktok-algorithm,Everyone knows what YouTube is — few know how it really works,Nilay Patel,2022/09/13
4,https://theverge.com//23341235/hp-elite-dragonfly-chromebook-2022-review,The HP Elite Dragonfly Chromebook is incredible — with one big problem,Monica Chin,2022/09/13
5,https://theverge.com//2022/9/14/23351957/flo-period-tracker-privacy-anonymous-mode,Flo period tracker launches ‘Anonymous Mode’ to fight abortion privacy concerns,Nicole Wetsman,2022/09/14
6,https://theverge.com//2022/9/15/23354689/snapchat-for-desktop-web-version-rollout,Snapchat for web is now available to everyone,Mia Sato,2022/09/15
7,https://theverge.com//2022/9/13/23349037/mark-bergen-youtube-creators-tiktok-algorithm,Everyone knows what YouTube is — few know how it really works,Nilay Patel,2022/09/13
8,https://theverge.com//2022/9/15/23354609/tiktok-now-bereal-copy-dual-camera-feature,TikTok Now is the latest BeReal knockoff,Mia Sato,2022/09/15
9,https://theverge.com//2022/9/15/23354745/google-pixelbook-chromebook-chrome-os-canceled,We didn’t need another Pixelbook,Monica Chin,2022/09/15
10,https://theverge.com//23351948/apple-iphone-14-pro-review,Apple iPhone 14 Pro review: early adopter island,Nilay Patel,2022/09/14
11,https://theverge.com//2022/9/9/23344587/apple-iphone-14-pro-event-podcast-roundtable-vergecast,Vergecast: iPhone 14 event and our first impressions,Andrew Marino,2022/09/09
12,https://theverge.com//23345083/lockly-vision-elite-review-smart-door-lock-video-doorbell,Lockly Vision Elite review: two become one,Jennifer Pattison Tuohy,2022/09/14
13,https://theverge.com//23353777/bose-quietcomfort-earbuds-2-review,Bose QuietComfort Earbuds II review: noise cancellation domination,Chris Welch,2022/09/15
14,https://theverge.com//2022/9/15/23354923/biden-administration-floating-offshore-wind-turbines,The Biden administration’s big new plans for floating offshore wind turbines,Justine Calma,2022/09/15
15,https://theverge.com//23353756/apple-watch-series-8-review-smartwatch-wearables,Apple Watch Series 8 review: if it ain’t broke,Victoria Song,2022/09/15
16,https://theverge.com//2022/9/15/23354669/call-of-duty-warzone-2-mobile-release-date,Call of Duty: Warzone 2.0 is coming in November,Andrew Webster,2022/09/15
17,https://theverge.com//23352835/verge-website-redesign-embeds-podcast-vergecast,Listen to our podcast about our website redesign,Andrew Marino,2022/09/14
18,https://theverge.com//2022/9/15/23354539/tiktok-senate-hearing-china-influence-bytedance,Is TikTok’s time running out?,Casey Newton,2022/09/15
19,https://theverge.com//2022/9/16/23356213/uber-hack-teen-slack-google-cloud-credentials-powershell,"Uber apparently hacked by teen, employees thought it was a joke",Jon Porter,2022/09/16
20,https://theverge.com//23339891/apple-iphone-14-event-watch-pro-wrist-computer,It’s time for the Apple Watch to become Apple’s next big thing,David Pierce,2022/09/07
21,https://theverge.com//2022/9/15/23354619/ethereum-cryptocurrency-merge-energy-electricity-greenhouse-gas-emissions-reduction,Ethereum just completed The Merge — here’s how much energy it’s saving,Justine Calma,2022/09/15
